epoch,acc,val_acc,loss,val_loss,learning_rate,,488
1,0.966183583,0.980676333,0.236241667,0.09419004,0.001,,
2,0.979468604,0.990338167,0.056460283,0.038455161,0.001,,
3,0.984299521,0.990338167,0.041335059,0.024017787,0.001,,
4,0.979468604,0.98550725,0.053381934,0.043839732,0.001,,
5,0.983091791,0.995169083,0.053383941,0.020986928,0.001,,
6,0.992753625,0.990338167,0.028074578,0.014747842,0.001,,
7,0.98550725,0.990338167,0.048802851,0.013392061,0.001,,
8,0.993961354,0.995169083,0.018806526,0.021796025,0.001,,
9,0.984299521,0.995169083,0.048873782,0.010257361,0.001,,
10,0.986714979,0.990338167,0.039181108,0.029646495,0.001,,
11,0.98550725,0.995169083,0.039842479,0.013576323,0.001,,
12,0.993961354,0.98550725,0.026869706,0.06387877,0.001,,
13,0.984299521,0.990338167,0.050691786,0.014342842,0.001,,
14,0.989130437,0.990338167,0.033144052,0.01691535,0.001,,
15,0.987922708,0.990338167,0.024765285,0.014022836,0.001,,
16,0.991545896,0.98550725,0.028497097,0.023776285,0.001,,
17,0.986714979,0.995169083,0.029675176,0.009340557,0.001,,
18,0.992753625,0.995169083,0.026842144,0.010035695,0.001,,
19,0.990338167,1,0.025196493,0.010010136,0.001,,
20,0.991545896,0.995169083,0.02598838,0.008809412,0.001,,
21,0.992753625,0.995169083,0.022138932,0.008281527,0.001,,
22,0.991545896,1,0.032551754,0.004922927,0.001,,
23,0.991545896,0.995169083,0.029651756,0.012278116,0.001,,
24,0.989130437,1,0.039303699,0.009562391,0.001,,
25,0.993961354,1,0.02075032,0.003178127,0.001,,
26,0.995169083,1,0.012014303,0.001312114,0.001,,
27,0.991545896,1,0.021977002,0.002703123,0.001,,
28,0.993961354,1,0.018455148,0.00263242,0.001,,
29,0.995169083,0.990338167,0.011629086,0.014361311,0.001,,
30,0.990338167,0.980676333,0.025947287,0.032171633,0.001,,
31,0.992753625,0.995169083,0.023641999,0.027058237,0.001,,
32,0.995169083,0.995169083,0.013169338,0.024753316,0.001,,
33,0.997584542,0.995169083,0.006222065,0.037421999,0.001,,
34,0.993961354,0.990338167,0.024789452,0.055402258,0.001,,
35,0.993961354,1,0.021195135,0.004454193,0.001,,
36,0.987922708,1,0.024757377,0.005215195,0.001,,
37,0.974637687,0.995169083,0.089238421,0.020224155,0.001,,
38,0.984299521,1,0.058387635,0.005952435,0.001,,
39,0.986714979,0.995169083,0.040503214,0.007773865,0.001,,
40,0.989130437,1,0.02912144,0.006111462,0.001,,
41,0.992753625,0.995169083,0.027718812,0.013509861,0.001,,
42,0.989130437,1,0.03264371,0.00258114,0.001,,
43,0.990338167,0.995169083,0.031333458,0.010286976,0.001,,
44,0.990338167,1,0.022492469,0.007016648,0.001,,
45,0.997584542,0.995169083,0.013767302,0.010447837,0.001,,
46,0.992753625,0.990338167,0.017746138,0.016133134,0.001,,
