epoch,acc,val_acc,loss,val_loss,learning_rate,,79
1,0.787439595,0.821256022,0.707978477,0.63451863,0.001,,
2,0.841787431,0.821256022,0.525438759,0.468365669,0.001,,
3,0.841787438,0.821256022,0.456341883,0.473586963,0.001,,
4,0.841787424,0.821256022,0.443677021,0.469289753,0.001,,
5,0.841787424,0.821256022,0.439516995,0.46975916,0.001,,
6,0.841787424,0.821256022,0.43617523,0.469786833,0.001,,
7,0.841787424,0.821256022,0.433293925,0.455107984,0.001,,
8,0.841787418,0.821256022,0.408386817,0.427760786,0.001,,
9,0.841787431,0.821256022,0.443048719,0.456928058,0.001,,
10,0.841787438,0.821256022,0.443542454,0.456577245,0.001,,
11,0.841787424,0.821256022,0.432412697,0.450695591,0.001,,
12,0.841787431,0.821256022,0.413871745,0.42165747,0.001,,
13,0.841787431,0.821256022,0.407253765,0.380350825,0.001,,
14,0.841787431,0.821256022,0.402914219,0.37990988,0.001,,
15,0.841787431,0.821256022,0.41331471,0.422397104,0.001,,
16,0.841787438,0.821256022,0.372614457,0.364228461,0.001,,
17,0.841787431,0.821256022,0.360012492,0.365866956,0.001,,
18,0.841787438,0.821256022,0.365702185,0.374789354,0.001,,
19,0.841787438,0.821256022,0.356786188,0.363067028,0.001,,
20,0.841787431,0.821256022,0.351172037,0.357477208,0.001,,
21,0.841787424,0.821256022,0.339061992,0.35556429,0.001,,
22,0.841787431,0.821256022,0.337769411,0.348675797,0.001,,
23,0.841787431,0.821256022,0.352583852,0.358841899,0.001,,
24,0.841787431,0.821256022,0.341278219,0.354022615,0.001,,
25,0.841787431,0.821256022,0.340706749,0.35489882,0.001,,
26,0.841787438,0.821256022,0.334884918,0.347179784,0.001,,
27,0.841787431,0.821256022,0.32682041,0.456279778,0.001,,
28,0.841787438,0.821256022,0.362090372,0.448285699,0.001,,
29,0.841787431,0.821256022,0.364515344,0.349780493,0.001,,
30,0.841787424,0.821256022,0.388527887,0.358951304,0.001,,
31,0.841787438,0.821256022,0.376331306,0.447546366,0.001,,
32,0.841787431,0.821256022,0.387726194,0.439440486,0.001,,
33,0.841787418,0.821256022,0.354061564,0.358482225,0.001,,
34,0.841787418,0.821256022,0.343864471,0.346191492,0.001,,
35,0.841787424,0.821256022,0.339408265,0.359723548,0.001,,
36,0.841787438,0.821256022,0.345250256,0.350418776,0.001,,
37,0.841787424,0.821256022,0.341861751,0.346707861,0.001,,
38,0.841787424,0.821256022,0.334958881,0.375140028,0.001,,
39,0.841787431,0.821256022,0.324796802,0.351028009,0.001,,
40,0.84299516,0.821256022,0.315286181,0.333634787,0.001,,
41,0.865942015,0.830917862,0.300804001,0.342951281,0.001,,
42,0.828502403,0.821256022,0.373281989,0.360449774,0.001,,
43,0.841787431,0.821256022,0.364621239,0.394968549,0.001,,
44,0.841787418,0.821256022,0.370815227,0.401169515,0.001,,
45,0.841787431,0.821256022,0.385934783,0.380118565,0.001,,
46,0.841787424,0.821256022,0.348933438,0.347654313,0.001,,
47,0.841787424,0.821256022,0.337580197,0.378042466,0.001,,
48,0.841787438,0.821256022,0.328929032,0.349039071,0.001,,
49,0.841787418,0.821256022,0.350577619,0.378875746,0.001,,
50,0.841787418,0.821256022,0.337708192,0.433155689,0.001,,
51,0.841787431,0.821256022,0.324320535,0.332115137,0.001,,
52,0.84299516,0.816425105,0.298611552,0.374485117,0.001,,
53,0.859903375,0.840579695,0.294384374,0.32206232,0.001,,
54,0.862318834,0.830917862,0.319274005,0.343476868,0.001,,
55,0.851449271,0.826086945,0.316764371,0.383138128,0.001,,
56,0.853864723,0.826086945,0.280195349,0.345930247,0.001,,
57,0.879227062,0.840579695,0.255168807,0.308978427,0.001,,
58,0.887681166,0.850241529,0.243696942,0.325600856,0.001,,
59,0.902173916,0.826086945,0.232919037,0.337300638,0.001,,
60,0.917874416,0.874396139,0.206167496,0.314529488,0.001,,
61,0.916666673,0.874396139,0.198464531,0.255179821,0.001,,
62,0.950483104,0.884057972,0.14256682,0.278566824,0.001,,
63,0.950483104,0.869565196,0.111402914,0.451625401,0.001,,
64,0.952898562,0.845410612,0.110143701,0.548533242,0.001,,
65,0.951690833,0.893719806,0.107142701,0.410938926,0.001,,
66,0.957729479,0.874396139,0.093802431,0.671535736,0.001,,
67,0.972222229,0.884057972,0.065433945,0.551765115,0.001,,
68,0.979468604,0.903381639,0.046718015,0.526213792,0.001,,
69,0.990338167,0.908212556,0.02527302,0.518259648,0.001,,
70,0.995169083,0.903381666,0.015422398,0.698388492,0.001,,
71,0.993961354,0.908212582,0.021159814,0.803788392,0.001,,
72,0.98550725,0.908212556,0.049070569,0.703321249,0.001,,
73,0.9710145,0.884057972,0.073526048,0.660762075,0.001,,
74,0.977053146,0.869565196,0.048562633,0.542561428,0.001,,
75,0.983091791,0.893719832,0.038051299,0.469368306,0.001,,
76,0.995169083,0.922705332,0.019218772,0.559573996,0.001,,
77,0.989130437,0.913043499,0.025599228,0.567111244,0.001,,
78,0.997584542,0.893719832,0.010659381,0.785355584,0.001,,
79,0.998792271,0.922705332,0.00396451,0.55948135,0.001,,
80,0.997584542,0.898550749,0.00531255,0.780047507,0.001,,
81,0.992753625,0.908212582,0.016704273,0.641125893,0.001,,
82,0.961352666,0.898550749,0.150624434,0.445921774,0.001,,
83,0.975845416,0.898550722,0.076721789,0.332634657,0.001,,
84,0.981884062,0.898550722,0.051787509,0.824659809,0.001,,
85,0.993961354,0.908212582,0.024125739,0.449505442,0.001,,
86,0.993961354,0.879227055,0.02053526,0.669307335,0.001,,
87,0.990338167,0.898550722,0.024929891,0.796150789,0.001,,
88,0.998792271,0.913043499,0.008250689,0.589287423,0.001,,
89,1,0.908212582,0.00242072,0.897754034,0.001,,
90,0.997584542,0.913043499,0.003173884,0.879437867,0.001,,
91,0.997584542,0.913043499,0.006496159,0.602310609,0.001,,
92,0.997584542,0.913043499,0.006871466,0.678504702,0.001,,
93,0.998792271,0.908212582,0.00620243,0.897378501,0.001,,
94,0.997584542,0.913043499,0.004910894,0.824787891,0.001,,
95,1,0.893719806,0.002347627,0.925970901,0.001,,
96,1,0.898550722,0.000590806,1.000472173,0.001,,
97,1,0.898550749,0.001245145,0.889427613,0.001,,
98,1,0.893719832,0.000619042,0.914279123,0.001,,
99,1,0.903381639,0.000593849,1.043462222,0.001,,
100,1,0.898550722,0.000804606,1.015437944,0.001,,
101,1,0.888888889,0.000353792,0.916167203,0.001,,
102,1,0.893719832,0.000437388,0.917239908,0.001,,
103,1,0.903381639,0.000658482,1.10028302,0.001,,
104,1,0.908212582,0.000885196,0.926805705,0.001,,
105,1,0.903381666,0.000258998,0.891031468,0.001,,
106,0.998792271,0.913043499,0.002873789,0.958090882,0.001,,
107,0.998792271,0.903381666,0.001865601,1.088889538,0.001,,
108,1,0.893719806,0.001131835,0.932924887,0.001,,
109,0.998792271,0.908212582,0.003023873,0.819102729,0.001,,
110,1,0.908212582,0.001465055,0.862112888,0.001,,
111,1,0.898550722,0.000439391,0.982517654,0.001,,
112,1,0.903381639,0.000173035,1.104772546,0.001,,
113,0.998792271,0.903381666,0.002064011,0.718934159,0.001,,
114,1,0.913043499,0.001255255,0.911362231,0.001,,
115,1,0.913043499,0.000517552,0.978952401,0.001,,
116,1,0.913043499,0.000232895,0.933135698,0.001,,
117,1,0.922705332,0.000105824,0.899663133,0.001,,
118,1,0.922705332,0.000191727,0.911007505,0.001,,
119,1,0.922705332,5.83E-05,0.908793267,0.001,,
120,1,0.917874416,0.000116509,0.922263168,0.001,,
121,1,0.917874416,5.41E-05,0.925756096,0.001,,
122,1,0.922705332,0.000117462,0.910093863,0.001,,
123,1,0.917874416,0.000144366,0.918056441,0.001,,
124,1,0.913043499,7.66E-05,0.929534947,0.001,,
125,1,0.917874416,1.73E-05,0.926644992,0.001,,
126,1,0.913043499,2.73E-05,0.921433927,0.001,,
127,1,0.917874416,4.14E-05,0.915467246,0.001,,
128,1,0.917874416,1.32E-05,0.914139706,0.001,,
129,1,0.913043499,9.74E-05,0.934046488,0.001,,
130,1,0.913043499,6.86E-05,0.936295754,0.001,,
131,1,0.917874416,1.52E-05,0.929415969,0.001,,
132,1,0.913043499,3.79E-05,0.946943569,0.001,,
133,1,0.913043499,4.60E-06,0.965266954,0.001,,
134,1,0.917874416,3.81E-05,0.924221372,0.001,,
135,1,0.917874416,3.87E-06,0.907618706,0.001,,
136,1,0.917874416,4.59E-06,0.903602469,0.001,,
137,1,0.922705332,7.61E-05,0.94578764,0.001,,
138,1,0.917874416,0.000286723,0.918975604,0.001,,
139,1,0.917874416,2.20E-05,0.85291157,0.001,,
140,1,0.922705332,0.000177777,0.857803605,0.001,,
141,0.996376812,0.908212556,0.0104509,0.767824226,0.001,,
142,0.992753625,0.879227055,0.020756084,1.146572836,0.001,,
143,0.992753625,0.874396139,0.022774347,1.106509153,0.001,,
144,0.991545896,0.908212582,0.022631061,0.740586685,0.001,,
145,0.993961354,0.913043499,0.023281635,0.710260208,0.001,,
146,0.996376812,0.917874416,0.012176135,0.678569713,0.001,,
147,0.996376812,0.893719832,0.012560283,0.724425359,0.001,,
148,0.996376812,0.893719806,0.007217767,0.635848445,0.001,,
149,0.997584542,0.903381666,0.007761133,0.845989757,0.001,,
150,0.996376812,0.908212582,0.00649704,0.89175622,0.001,,
151,0.997584542,0.903381666,0.007761896,0.847187054,0.001,,
152,0.997584542,0.888888915,0.009339815,0.894603166,0.001,,
153,0.996376812,0.903381666,0.006448793,0.830045647,0.001,,
154,0.998792271,0.888888889,0.001739554,0.752778154,0.001,,
155,0.998792271,0.903381666,0.002633267,0.965143891,0.001,,
156,1,0.903381666,0.000387985,0.988425859,0.001,,
157,1,0.913043499,0.000493084,0.980217576,0.001,,
158,1,0.913043499,5.93E-05,0.965606102,0.001,,
159,1,0.913043499,7.25E-05,0.960056742,0.001,,
160,1,0.913043499,9.71E-05,0.962091661,0.001,,
161,1,0.913043499,3.41E-05,0.962643637,0.001,,
162,1,0.913043499,2.81E-05,0.962776921,0.001,,
163,1,0.913043499,5.87E-05,0.966406612,0.001,,
164,1,0.913043499,3.68E-05,0.966850276,0.001,,
165,1,0.913043499,8.41E-05,0.96692875,0.001,,
166,1,0.908212582,0.000142899,0.969560905,0.001,,
167,1,0.908212582,0.0001027,0.967993506,0.001,,
168,1,0.908212582,9.12E-05,0.97579507,0.001,,
169,1,0.908212582,4.94E-05,0.980772985,0.001,,
170,1,0.908212582,0.000119575,0.991221064,0.001,,
171,1,0.908212582,2.70E-05,0.99555329,0.001,,
172,1,0.908212582,3.19E-05,0.995770593,0.001,,
173,1,0.908212582,3.07E-05,0.991180783,0.001,,
174,1,0.908212582,2.22E-05,0.990130666,0.001,,
175,1,0.908212582,4.30E-05,0.985432782,0.001,,
176,1,0.908212582,1.13E-05,0.982501326,0.001,,
177,1,0.908212582,1.02E-05,0.980697468,0.001,,
178,1,0.908212582,3.51E-05,0.978998636,0.001,,
179,1,0.908212582,9.58E-06,0.977305096,0.001,,
180,1,0.908212582,7.27E-06,0.977053293,0.001,,
181,1,0.908212582,1.07E-05,0.977745126,0.001,,
182,1,0.908212582,5.22E-05,0.978359577,0.001,,
183,1,0.908212582,6.51E-06,0.984466498,0.001,,
184,1,0.908212582,1.48E-05,0.987738411,0.001,,
185,1,0.908212582,1.98E-05,0.991185932,0.001,,
186,1,0.908212582,8.92E-06,0.993055498,0.001,,
187,1,0.908212582,5.61E-06,0.994312675,0.001,,
188,1,0.908212582,9.71E-06,0.995750899,0.001,,
189,1,0.908212582,8.99E-06,0.996626904,0.001,,
190,1,0.908212582,1.22E-05,0.995695336,0.001,,
191,1,0.908212582,8.18E-06,0.994312116,0.001,,
192,1,0.908212582,5.69E-06,0.993400678,0.001,,
193,1,0.908212582,3.40E-06,0.992954824,0.001,,
194,1,0.908212582,7.95E-06,0.993014342,0.001,,
195,1,0.908212582,3.63E-06,0.99296375,0.001,,
196,1,0.903381666,0.000107955,0.964585467,0.001,,
197,1,0.903381666,1.37E-05,0.946258838,0.001,,
198,1,0.903381666,4.61E-06,0.942745344,0.001,,
