epoch,acc,val_acc,loss,val_loss,learning_rate,,122
1,0.798309161,0.855072459,0.532089412,0.401205944,0.001,,
2,0.827294674,0.855072459,0.45721626,0.390900354,0.001,,
3,0.827294668,0.855072459,0.425844835,0.365561962,0.001,,
4,0.827294674,0.855072459,0.359018372,0.343075203,0.001,,
5,0.827294668,0.855072459,0.335218244,0.378405935,0.001,,
6,0.827294668,0.855072459,0.345664077,0.29243703,0.001,,
7,0.827294674,0.855072459,0.277803174,0.177928173,0.001,,
8,0.871980674,0.956521743,0.263761514,0.15496753,0.001,,
9,0.913043479,0.980676333,0.225522729,0.08786238,0.001,,
10,0.899758458,0.35748793,0.542363841,1.93408276,0.001,,
11,0.827294681,0.855072459,0.422813629,0.24537715,0.001,,
12,0.884057972,0.961352666,0.222507644,0.104589111,0.001,,
13,0.968599041,0.98550725,0.101808267,0.042036088,0.001,,
14,0.963768125,0.980676333,0.075099682,0.030749434,0.001,,
15,0.973429958,0.990338167,0.058761605,0.030664898,0.001,,
16,0.986714979,0.990338167,0.044804366,0.01381804,0.001,,
17,0.986714979,0.995169083,0.036121539,0.013718598,0.001,,
18,0.987922708,0.98550725,0.025927781,0.036589348,0.001,,
19,0.996376812,0.995169083,0.018307363,0.008648832,0.001,,
20,0.996376812,0.995169083,0.012934887,0.007797893,0.001,,
21,0.995169083,0.98550725,0.013053484,0.054483469,0.001,,
22,0.978260875,0.990338167,0.046625926,0.039875644,0.001,,
23,0.987922708,1,0.037191004,0.009751868,0.001,,
24,0.995169083,0.995169083,0.017668295,0.007462173,0.001,,
25,0.998792271,0.990338167,0.008117294,0.019955005,0.001,,
26,0.987922708,0.990338167,0.034227101,0.017100373,0.001,,
27,0.992753625,0.995169083,0.016789187,0.011563775,0.001,,
28,0.993961354,1,0.017780919,0.005275223,0.001,,
29,0.997584542,1,0.0111568,0.006794148,0.001,,
30,0.995169083,1,0.010021273,0.003357586,0.001,,
31,0.997584542,0.995169083,0.006267143,0.007241754,0.001,,
32,0.997584542,1,0.004136579,0.001685033,0.001,,
33,0.998792271,1,0.002493322,0.001752687,0.001,,
34,0.995169083,1,0.008590776,0.000787031,0.001,,
35,0.998792271,1,0.00385383,0.002399739,0.001,,
36,0.993961354,0.995169083,0.013433543,0.007348409,0.001,,
37,1,1,0.002487547,0.002030178,0.001,,
38,0.997584542,1,0.00675719,0.00035597,0.001,,
39,1,1,0.001384261,0.002973228,0.001,,
40,0.997584542,1,0.008940401,0.001026301,0.001,,
41,0.998792271,1,0.004322753,0.003486099,0.001,,
42,0.993961354,1,0.014250136,0.001015516,0.001,,
43,0.996376812,0.995169083,0.007460702,0.009303572,0.001,,
44,0.996376812,1,0.013525051,0.004312399,0.001,,
45,0.996376812,1,0.010037812,0.003406805,0.001,,
46,0.998792271,1,0.005613448,0.001980108,0.001,,
47,0.996376812,0.995169083,0.009519498,0.007790274,0.001,,
48,0.996376812,1,0.005535887,0.002993386,0.001,,
49,0.998792271,1,0.002365077,0.002087707,0.001,,
50,1,1,0.000580897,0.000303365,0.001,,
51,1,1,0.000486897,0.000216076,0.001,,
52,1,1,0.000192995,0.000105046,0.001,,
53,1,1,9.14E-05,8.33E-05,0.001,,
54,1,1,0.000187971,7.65E-05,0.001,,
55,1,1,4.90E-05,6.75E-05,0.001,,
56,1,1,5.07E-05,6.20E-05,0.001,,
57,1,1,0.000108978,5.95E-05,0.001,,
58,1,1,0.000172608,4.50E-05,0.001,,
59,1,1,4.08E-05,8.43E-05,0.001,,
60,1,1,5.60E-05,7.33E-05,0.001,,
61,1,1,8.13E-05,3.63E-05,0.001,,
62,1,1,2.18E-05,2.75E-05,0.001,,
63,1,1,2.78E-05,2.97E-05,0.001,,
64,1,1,1.99E-05,3.27E-05,0.001,,
65,1,1,4.08E-05,3.38E-05,0.001,,
66,1,1,3.58E-05,2.55E-05,0.001,,
67,1,1,0.000129867,2.60E-05,0.001,,
68,1,1,1.72E-05,5.45E-05,0.001,,
69,1,1,0.0001737,6.70E-05,0.001,,
70,1,1,0.000122423,6.04E-05,0.001,,
71,1,1,1.49E-05,3.86E-05,0.001,,
72,1,1,1.87E-05,3.17E-05,0.001,,
73,1,1,5.25E-05,3.78E-05,0.001,,
74,1,1,4.77E-05,5.21E-05,0.001,,
75,1,1,6.97E-05,2.67E-05,0.001,,
76,1,1,8.98E-06,3.34E-05,0.001,,
77,1,1,3.28E-05,3.16E-05,0.001,,
78,1,1,9.00E-06,2.66E-05,0.001,,
79,1,1,4.59E-05,2.18E-05,0.001,,
80,1,1,1.36E-05,1.95E-05,0.001,,
81,1,1,1.61E-05,1.86E-05,0.001,,
82,1,1,6.26E-05,2.51E-05,0.001,,
83,1,1,2.09E-05,3.58E-05,0.001,,
84,1,1,1.31E-05,3.41E-05,0.001,,
85,1,1,2.42E-05,2.55E-05,0.001,,
86,1,1,0.000401494,2.40E-05,0.001,,
87,0.998792271,0.995169083,0.001894327,0.006282996,0.001,,
88,0.990338167,1,0.025166497,0.000929182,0.001,,
89,0.993961354,1,0.010618373,0.002453901,0.001,,
90,0.995169083,0.995169083,0.01962792,0.011827224,0.001,,
91,0.993961354,1,0.009154593,0.001138677,0.001,,
92,1,1,0.000807673,4.16E-05,0.001,,
93,0.998792271,1,0.002099282,0.000195193,0.001,,
94,1,1,0.001079085,0.000138255,0.001,,
95,1,1,9.94E-05,8.99E-06,0.001,,
96,1,1,2.11E-05,5.36E-06,0.001,,
97,1,1,0.000114902,8.10E-06,0.001,,
98,1,1,2.71E-05,1.63E-05,0.001,,
99,1,1,4.93E-05,4.74E-06,0.001,,
100,1,1,1.03E-05,5.16E-06,0.001,,
101,1,1,1.42E-05,3.48E-06,0.001,,
102,1,1,6.62E-06,2.67E-06,0.001,,
