epoch,acc,val_acc,loss,val_loss,learning_rate,,476
1,0.78241161,0.894927561,2.287639303,0.179700231,0.001,,
2,0.893019047,0.884057959,0.21898097,0.172924956,0.001,,
3,0.914777893,0.974637687,0.181183211,0.102656027,0.001,,
4,0.973708075,0.989130437,0.099189571,0.043631366,0.001,,
5,0.976427929,0.996376812,0.06279157,0.02053463,0.001,,
6,0.979147783,0.996376812,0.05207113,0.010968319,0.001,,
7,0.984587492,0.996376812,0.039737349,0.013133153,0.001,,
8,0.995466909,1,0.021447763,0.005278197,0.001,,
9,0.993653673,1,0.019241074,0.001236785,0.001,,
10,0.987307346,1,0.048114044,0.001608488,0.001,,
11,0.993653673,1,0.021496513,0.001170425,0.001,,
12,0.997280146,0.996376812,0.009504311,0.011944707,0.001,,
13,0.994560291,1,0.01295852,0.001998984,0.001,,
14,0.996373528,1,0.008893776,0.00039273,0.001,,
15,0.994560291,1,0.030865848,0.002452965,0.001,,
16,0.997280146,0.996376812,0.009353439,0.005766389,0.001,,
17,0.996373528,1,0.011744773,0.001881952,0.001,,
18,0.997280145,1,0.0066359,0.001203056,0.001,,
19,0.996373527,0.996376812,0.008310283,0.009578496,0.001,,
20,0.997280146,0.996376812,0.008810775,0.007661859,0.001,,
21,0.995466909,1,0.009426161,0.00020999,0.001,,
22,0.996373528,0.996376812,0.020574722,0.00653262,0.001,,
23,0.998186764,1,0.008932446,0.002132399,0.001,,
24,0.99546691,1,0.010906587,0.000682125,0.001,,
25,0.998186764,1,0.006328761,0.000527438,0.001,,
26,0.998186764,1,0.003845279,0.000167089,0.001,,
27,0.998186764,1,0.004367253,0.00069643,0.001,,
28,0.998186764,1,0.005264734,0.000136305,0.001,,
29,0.999093382,1,0.003763325,0.000325211,0.001,,
30,0.996373528,1,0.020151352,0.00051053,0.001,,
31,0.997280146,1,0.005418761,0.00056298,0.001,,
32,0.998186764,1,0.004683951,5.09E-05,0.001,,
33,0.997280146,0.996376812,0.010918224,0.00382755,0.001,,
34,0.993653673,0.996376812,0.013676652,0.006401949,0.001,,
35,0.995466909,1,0.01531478,0.000358532,0.001,,
36,0.999093382,1,0.005850841,0.003947471,0.001,,
37,0.997280146,1,0.00490017,0.001576336,0.001,,
38,0.997280146,1,0.006695402,0.001080145,0.001,,
39,1,1,0.003267967,0.000826575,0.001,,
40,0.996373528,1,0.013449756,0.00245829,0.001,,
41,0.998186764,1,0.003450966,0.00222794,0.001,,
42,0.998186764,1,0.004346597,0.000232761,0.001,,
43,0.997280146,1,0.006867308,0.004442626,0.001,,
44,0.999093382,1,0.003949858,0.000859202,0.001,,
45,0.997280146,1,0.007632012,0.000394573,0.001,,
46,0.996373528,0.981884059,0.007963332,0.075687566,0.001,,
47,0.991840437,0.989130435,0.023811167,0.041752735,0.001,,
48,0.996373527,1,0.012995437,0.000804218,0.001,,
49,0.998186764,1,0.00821727,0.000666209,0.001,,
50,0.999093382,1,0.0029454,0.000403716,0.001,,
51,1,0.992753625,0.002477649,0.018068365,0.001,,
52,0.996373527,1,0.009166217,0.000165732,0.001,,
53,0.998186764,1,0.005060419,0.001516289,0.001,,
54,0.998186764,1,0.018917458,0.000748066,0.001,,
55,0.999093382,1,0.003261224,0.000385852,0.001,,
56,1,1,0.001435221,0.000410352,0.001,,
57,1,1,0.001269176,5.38E-05,0.001,,
58,1,1,0.000697516,0.000103763,0.001,,
59,0.998186764,1,0.004400464,7.90E-05,0.001,,
60,0.999093382,1,0.001621301,0.00010971,0.001,,
61,1,1,0.001886875,8.33E-05,0.001,,
62,1,1,0.001269982,1.83E-05,0.001,,
63,1,1,0.000178883,7.36E-05,0.001,,
64,1,1,0.00057934,3.73E-06,0.001,,
65,0.990933819,1,0.029418798,0.00066294,0.001,,
66,0.996373528,1,0.013243638,0.002228393,0.001,,
67,0.999093382,0.996376812,0.003979683,0.024289601,0.001,,
68,0.994560291,1,0.016275264,0.000859006,0.001,,
69,0.997280146,1,0.009660613,0.002981115,0.001,,
70,0.999093382,1,0.005373365,0.000842288,0.001,,
71,1,1,0.000679446,9.73E-05,0.001,,
72,0.998186764,1,0.0033637,0.000345479,0.001,,
73,0.999093382,1,0.00317753,0.000102216,0.001,,
74,0.992747055,1,0.018746019,0.000282242,0.001,,
75,0.997280146,1,0.006312315,0.000860653,0.001,,
76,0.997280146,1,0.004199981,0.000270677,0.001,,
77,0.999093382,0.992753624,0.002539786,0.020979781,0.001,,
78,0.997280146,1,0.009530705,0.001187015,0.001,,
79,0.998186764,0.996376812,0.002906677,0.00753616,0.001,,
