epoch,acc,val_acc,loss,val_loss,learning_rate,,385
1,0.896645521,0.942028999,0.38252489,0.120844694,0.001,,
2,0.9301904,0.981884062,0.188135699,0.055126086,0.001,,
3,0.961015421,0.978260875,0.112959697,0.034944997,0.001,,
4,0.966455129,0.996376812,0.094882249,0.021164603,0.001,,
5,0.970081602,0.989130437,0.097499928,0.030158356,0.001,,
6,0.977334547,0.989130437,0.073920114,0.020487866,0.001,,
7,0.978241165,0.992753625,0.06356371,0.023279962,0.001,,
8,0.98549411,0.992753625,0.05189885,0.023524401,0.001,,
9,0.981867638,0.989130437,0.055597428,0.028172256,0.001,,
10,0.980054401,0.992753625,0.045903621,0.023650711,0.001,,
11,0.972801456,0.978260875,0.079835955,0.053932513,0.001,,
12,0.983680874,0.98550725,0.050073127,0.02635114,0.001,,
13,0.976427929,0.996376812,0.055281758,0.014661797,0.001,,
14,0.990933819,1,0.032019351,0.009830776,0.001,,
15,0.98096102,0.996376812,0.055190084,0.016242501,0.001,,
16,0.98549411,0.992753625,0.047317324,0.014164156,0.001,,
17,0.98549411,0.992753625,0.037239875,0.014775634,0.001,,
18,0.980054402,0.992753625,0.060864592,0.024343925,0.001,,
19,0.980054402,0.992753625,0.044539367,0.014739508,0.001,,
20,0.989120583,0.996376812,0.035297064,0.012189312,0.001,,
21,0.98549411,0.992753625,0.035270042,0.018346421,0.001,,
22,0.986400729,0.989130437,0.050091394,0.035201527,0.001,,
23,0.982774256,0.981884062,0.04818721,0.030829599,0.001,,
24,0.984587492,0.989130437,0.041665415,0.033601029,0.001,,
25,0.990933819,0.989130437,0.032881319,0.020324348,0.001,,
26,0.986400729,1,0.031672067,0.009612357,0.001,,
27,0.986400728,0.989130437,0.038711218,0.017154462,0.001,,
28,0.994560291,0.992753625,0.016357418,0.015388381,0.001,,
29,0.986400729,0.989130437,0.042327933,0.035261532,0.001,,
30,0.980054401,0.992753625,0.043309835,0.015673713,0.001,,
31,0.98549411,0.996376812,0.042613963,0.009773042,0.001,,
32,0.991840437,0.992753625,0.023257781,0.020506527,0.001,,
33,0.987307346,0.989130437,0.033753868,0.018265978,0.001,,
34,0.989120583,0.996376812,0.034150467,0.017672468,0.001,,
35,0.994560291,0.98550725,0.01419079,0.04601127,0.001,,
36,0.986400728,0.989130437,0.043865178,0.030294199,0.001,,
37,0.989120583,0.992753625,0.030720272,0.011604795,0.001,,
38,0.990933819,0.996376812,0.020699691,0.00693828,0.001,,
39,0.990027201,1,0.025985859,0.007519596,0.001,,
40,0.992747055,1,0.015658371,0.008324469,0.001,,
41,0.992747055,1,0.032555434,0.002517045,0.001,,
42,0.993653673,0.996376812,0.018775917,0.007682492,0.001,,
43,0.993653673,0.996376812,0.02098265,0.0081124,0.001,,
44,0.99546691,1,0.01958693,0.003829402,0.001,,
45,0.996373528,1,0.014479608,0.003725682,0.001,,
46,0.987307346,0.974637687,0.031878079,0.072293285,0.001,,
47,0.977334547,0.992753625,0.068386471,0.027765963,0.001,,
48,0.988213965,1,0.031783045,0.007494983,0.001,,
49,0.988213965,1,0.040151299,0.004878243,0.001,,
50,0.996373528,1,0.016194089,0.003646925,0.001,,
51,0.99546691,1,0.010248865,0.001440328,0.001,,
52,0.997280146,0.992753625,0.011509978,0.013521587,0.001,,
53,0.993653673,1,0.024022461,0.004014491,0.001,,
54,0.992747055,0.996376812,0.01868922,0.006837146,0.001,,
55,0.993653673,0.989130437,0.028808518,0.010633494,0.001,,
56,0.993653673,0.996376812,0.022211185,0.004716408,0.001,,
57,0.990933819,1,0.023828,0.006699073,0.001,,
58,0.990027201,0.996376812,0.02524313,0.008615221,0.001,,
59,0.997280146,0.992753625,0.013043105,0.019000784,0.001,,
60,0.989120583,0.989130437,0.035226689,0.0192242,0.001,,
