epoch,acc,val_acc,loss,val_loss,learning_rate,,190
1,0.800724632,0.801932355,0.55809072,0.538921005,0.001,,
2,0.839371973,0.801932355,0.45376076,0.531604105,0.001,,
3,0.839371966,0.801932355,0.461796522,0.497486353,0.001,,
4,0.839371959,0.801932355,0.446796669,0.499578214,0.001,,
5,0.839371973,0.801932355,0.448961861,0.504856484,0.001,,
6,0.839371966,0.801932355,0.423046572,0.412348794,0.001,,
7,0.847826084,0.801932355,0.344664574,0.314476871,0.001,,
8,0.777777765,0.801932355,0.343437036,0.304738058,0.001,,
9,0.839371966,0.801932355,0.244800298,0.215645424,0.001,,
10,0.849033806,0.801932355,0.322581696,0.410399374,0.001,,
11,0.867149757,0.801932355,0.331890325,0.235446731,0.001,,
12,0.898550729,0.966183583,0.210526196,0.130335288,0.001,,
13,0.934782618,0.830917855,0.140059496,0.573125753,0.001,,
14,0.916666673,0.927536249,0.221279016,0.181515363,0.001,,
15,0.961352666,0.990338167,0.114768138,0.040404987,0.001,,
16,0.978260875,0.98550725,0.069124812,0.030310438,0.001,,
17,0.986714979,0.980676333,0.040645888,0.040622453,0.001,,
18,0.974637687,0.971014493,0.070183844,0.04648487,0.001,,
19,0.980676333,0.990338167,0.045780548,0.022970487,0.001,,
20,0.983091791,0.956521743,0.03527382,0.09413945,0.001,,
21,0.971014493,0.995169083,0.071492305,0.02732521,0.001,,
22,0.98550725,0.975845416,0.044976464,0.049510647,0.001,,
23,0.990338167,0.98550725,0.026600865,0.019064037,0.001,,
24,0.993961354,0.98550725,0.016242601,0.030746877,0.001,,
25,0.995169083,1,0.012144216,0.004752724,0.001,,
26,0.996376812,1,0.007058251,0.002073347,0.001,,
27,0.997584542,1,0.007075935,0.003546452,0.001,,
28,0.996376812,0.995169083,0.007733793,0.005465379,0.001,,
29,0.998792271,0.995169083,0.004781314,0.011466587,0.001,,
30,0.997584542,1,0.00314672,0.00285115,0.001,,
31,1,1,0.000838325,0.004518553,0.001,,
32,1,1,0.000352767,0.00033013,0.001,,
33,1,1,0.000170508,0.000110332,0.001,,
34,1,1,4.13E-05,2.31E-05,0.001,,
35,1,1,5.24E-05,0.000126219,0.001,,
36,1,1,3.54E-05,2.76E-05,0.001,,
37,1,1,7.73E-05,0.000121373,0.001,,
38,1,0.990338167,0.00079421,0.027802033,0.001,,
39,0.998792271,0.990338167,0.004297994,0.060678536,0.001,,
40,0.987922708,1,0.023949954,0.005667015,0.001,,
41,0.984299521,0.9710145,0.059837648,0.062369049,0.001,,
42,0.986714979,0.995169083,0.037397179,0.022193606,0.001,,
43,1,0.995169083,0.00933987,0.014060122,0.001,,
44,0.997584542,1,0.004763166,0.005835202,0.001,,
45,0.998792271,1,0.002386472,0.001371611,0.001,,
46,0.998792271,0.995169083,0.001597836,0.036998734,0.001,,
47,0.996376812,1,0.010885983,0.00052476,0.001,,
48,0.996376812,0.98550725,0.015986905,0.036718197,0.001,,
49,0.997584542,1,0.004257731,0.002138276,0.001,,
50,1,1,0.00192061,0.000532289,0.001,,
51,1,1,0.000406919,3.00E-05,0.001,,
52,1,1,0.000102841,9.81E-06,0.001,,
