epoch,acc,val_acc,loss,val_loss,learning_rate,,216
1,0.96980677,0.966183583,0.108091984,0.092570611,0.001,,
2,0.990338167,0.990338167,0.02987475,0.019885706,0.001,,
3,0.989130437,0.990338167,0.033606511,0.028064805,0.001,,
4,0.993961354,0.975845416,0.019119559,0.056284676,0.001,,
5,0.991545896,0.990338167,0.024191245,0.020968708,0.001,,
6,0.991545896,0.966183583,0.020857957,0.103542062,0.001,,
7,0.993961354,0.980676333,0.018198261,0.044311716,0.001,,
8,0.996376812,0.990338167,0.00937024,0.022196513,0.001,,
9,0.997584542,0.971014493,0.021925609,0.078687434,0.001,,
10,0.992753625,0.98550725,0.015085498,0.045416073,0.001,,
11,0.992753625,0.980676333,0.016888166,0.047648287,0.001,,
12,0.987922708,0.990338167,0.03326183,0.038940987,0.001,,
13,0.995169083,0.942028993,0.012759653,0.146837829,0.001,,
14,0.991545896,0.990338167,0.032347272,0.012896999,0.001,,
15,0.996376812,0.980676333,0.0117009,0.040658515,0.001,,
16,0.995169083,0.990338167,0.016790343,0.013784442,0.001,,
17,0.993961354,0.956521749,0.015256748,0.096779658,0.001,,
18,0.992753625,0.995169083,0.023208945,0.015146922,0.001,,
19,0.991545896,0.98550725,0.02489375,0.039285672,0.001,,
20,0.992753625,0.956521743,0.024880563,0.165845901,0.001,,
21,0.996376812,1,0.023883677,0.003426281,0.001,,
22,0.993961354,1,0.015998929,0.003467796,0.001,,
23,0.990338167,1,0.029996728,0.006820283,0.001,,
24,0.996376812,0.990338167,0.012161942,0.019734692,0.001,,
25,0.995169083,0.995169083,0.009178908,0.01024166,0.001,,
26,0.998792271,1,0.004144158,0.001211228,0.001,,
27,0.968599041,0.840579722,0.095758028,0.322635392,0.001,,
28,0.896135271,0.879227049,0.242834645,0.217197309,0.001,,
29,0.986714979,1,0.043310974,0.006408532,0.001,,
30,0.966183583,0.966183583,0.125850545,0.081841523,0.001,,
31,0.981884062,0.980676333,0.062566219,0.068971031,0.001,,
32,0.977053146,0.980676333,0.058423421,0.029462427,0.001,,
33,0.974637687,0.980676333,0.067693831,0.039724356,0.001,,
34,0.964975854,0.995169083,0.140822235,0.034365871,0.001,,
35,0.974637687,0.951690826,0.075800705,0.131096199,0.001,,
36,0.984299521,0.956521743,0.037134385,0.128825535,0.001,,
37,0.987922708,0.927536243,0.039081711,0.214010676,0.001,,
38,0.992753625,0.980676333,0.027064443,0.052350158,0.001,,
39,0.992753625,1,0.019670251,0.011114175,0.001,,
40,0.995169083,0.995169083,0.011511863,0.009322975,0.001,,
41,0.993961354,0.98550725,0.022724435,0.031476023,0.001,,
42,0.998792271,1,0.011442349,0.006663195,0.001,,
43,0.996376812,0.990338167,0.007487291,0.009538213,0.001,,
44,0.998792271,0.961352666,0.005043324,0.139009919,0.001,,
45,0.989130437,0.995169083,0.040895393,0.008944986,0.001,,
46,0.996376812,1,0.02768307,0.010864612,0.001,,
47,0.996376812,0.980676333,0.016872937,0.036821212,0.001,,
48,0.998792271,0.995169083,0.005483913,0.009219603,0.001,,
49,0.995169083,0.990338167,0.009090836,0.028555051,0.001,,
50,0.997584542,0.98550725,0.005147833,0.027567117,0.001,,
51,0.997584542,1,0.005098645,0.004104298,0.001,,
52,1,1,0.003421988,0.006024503,0.001,,
53,0.996376812,0.990338167,0.008639825,0.020314575,0.001,,
54,0.997584542,0.990338167,0.004412356,0.011828246,0.001,,
55,0.997584542,0.98550725,0.003874605,0.020786152,0.001,,
56,0.997584542,1,0.002805714,0.005218697,0.001,,
57,0.998792271,1,0.002760921,0.002015518,0.001,,
58,0.997584542,0.980676333,0.01008718,0.083815814,0.001,,
59,0.997584542,1,0.004966365,0.002023206,0.001,,
60,0.996376812,0.995169083,0.020462498,0.022927111,0.001,,
61,0.997584542,0.995169083,0.009354899,0.019592018,0.001,,
62,0.998792271,1,0.00515006,0.003543025,0.001,,
63,0.997584542,1,0.00541226,0.004233561,0.001,,
64,0.997584542,1,0.005217754,0.003577302,0.001,,
65,0.997584542,0.98550725,0.007106054,0.028064362,0.001,,
66,0.998792271,0.995169083,0.00163862,0.009004492,0.001,,
67,0.997584542,1,0.012393134,0.002395384,0.001,,
68,0.995169083,0.990338167,0.008043035,0.014959708,0.001,,
69,0.997584542,0.980676333,0.008729324,0.044441269,0.001,,
70,0.997584542,0.995169083,0.007486205,0.01076862,0.001,,
71,1,0.995169083,0.001571183,0.00716059,0.001,,
72,0.998792271,0.995169083,0.00422742,0.005327317,0.001,,
73,0.998792271,0.995169083,0.004465921,0.011208846,0.001,,
74,1,0.995169083,0.002108733,0.008965506,0.001,,
75,0.996376812,0.990338167,0.006907108,0.008572583,0.001,,
76,0.998792271,1,0.005460576,0.005009592,0.001,,
77,0.997584542,1,0.003430624,0.001011556,0.001,,
78,0.998792271,0.990338167,0.003415451,0.022130422,0.001,,
79,0.998792271,1,0.002320728,0.003199868,0.001,,
80,1,0.995169083,0.001113163,0.005890657,0.001,,
81,1,0.995169083,0.000567315,0.022931079,0.001,,
82,1,0.995169083,0.000247158,0.012983884,0.001,,
83,0.996376812,1,0.010320302,0.002845346,0.001,,
84,1,0.980676333,0.001086575,0.046060231,0.001,,
85,0.996376812,0.990338167,0.015200206,0.041914445,0.001,,
86,0.998792271,0.990338167,0.005816099,0.020379339,0.001,,
87,0.998792271,0.995169083,0.003767921,0.016863848,0.001,,
88,1,0.98550725,0.00077872,0.025259326,0.001,,
89,0.998792271,0.990338167,0.003691171,0.013579279,0.001,,
90,0.996376812,0.990338167,0.010648365,0.012810358,0.001,,
91,0.989130437,0.98550725,0.028545262,0.021748212,0.001,,
92,0.996376812,0.980676333,0.023516918,0.036900891,0.001,,
93,0.998792271,0.975845416,0.003528856,0.039060463,0.001,,
94,0.991545896,0.917874409,0.028990968,0.223655923,0.001,,
95,0.973429958,0.995169083,0.066602193,0.028649143,0.001,,
96,0.995169083,0.980676333,0.012852491,0.032458048,0.001,,
97,0.997584542,0.9710145,0.00648705,0.10263786,0.001,,
98,0.996376812,1,0.009614961,0.00026819,0.001,,
99,0.995169083,1,0.006108072,7.17E-05,0.001,,
100,0.986714979,0.922705326,0.051553334,0.187491597,0.001,,
101,0.937198076,0.956521749,0.175757615,0.225271275,0.001,,
102,0.977053146,0.980676333,0.086974615,0.040978381,0.001,,
103,0.990338167,1,0.03017827,0.004936173,0.001,,
104,0.978260875,0.980676333,0.071912069,0.094614706,0.001,,
105,0.981884062,0.966183583,0.047541751,0.086620619,0.001,,
106,0.987922708,0.995169083,0.048935305,0.012061082,0.001,,
107,0.944444451,0.980676333,0.143777789,0.090254503,0.001,,
108,0.974637687,0.98550725,0.077331552,0.028957347,0.001,,
109,0.989130437,0.946859916,0.032128736,0.117713769,0.001,,
110,0.981884062,0.995169083,0.040761262,0.006728699,0.001,,
111,0.993961354,1,0.024150292,0.004543957,0.001,,
112,0.986714979,0.990338167,0.036854268,0.024205348,0.001,,
113,0.995169083,0.975845416,0.014010998,0.031324832,0.001,,
114,0.995169083,0.9710145,0.012229391,0.038823553,0.001,,
115,0.997584542,1,0.006149079,0.000199631,0.001,,
116,0.993961354,0.995169083,0.017448137,0.02850213,0.001,,
117,0.996376812,0.995169083,0.005714981,0.011431885,0.001,,
118,0.996376812,0.995169083,0.007080224,0.01900634,0.001,,
119,0.991545896,0.932367159,0.02451754,0.239863833,0.001,,
120,0.984299521,1,0.054829279,0.006977282,0.001,,
121,0.995169083,0.990338167,0.018138976,0.023302596,0.001,,
122,0.998792271,0.990338167,0.004461018,0.018662849,0.001,,
123,0.998792271,1,0.002814485,0.001406273,0.001,,
124,0.996376812,0.98550725,0.01026286,0.061218469,0.001,,
125,0.997584542,0.990338167,0.005134833,0.042533954,0.001,,
126,0.998792271,0.995169083,0.002502607,0.016697009,0.001,,
127,1,0.990338167,0.001746896,0.01816537,0.001,,
128,0.996376812,0.990338167,0.008026053,0.044075864,0.001,,
129,0.996376812,1,0.012124385,0.002538397,0.001,,
130,0.997584542,0.995169083,0.007135437,0.008029183,0.001,,
131,1,0.995169083,0.001974259,0.004655907,0.001,,
132,1,0.995169083,0.002494094,0.018235771,0.001,,
133,1,0.995169083,0.001745141,0.004411276,0.001,,
134,0.997584542,0.995169083,0.007983455,0.004974949,0.001,,
135,1,0.980676333,0.002678886,0.056081856,0.001,,
136,0.997584542,1,0.012175624,0.001632893,0.001,,
137,0.996376812,0.990338167,0.009745866,0.023060987,0.001,,
138,0.997584542,1,0.005400916,0.005678565,0.001,,
139,0.997584542,0.990338167,0.00660022,0.031899111,0.001,,
140,0.997584542,0.995169083,0.006054203,0.009907344,0.001,,
141,1,1,0.001390168,0.001200178,0.001,,
142,1,0.995169083,0.00137775,0.009799352,0.001,,
143,0.998792271,0.995169083,0.006996647,0.008146278,0.001,,
144,0.998792271,1,0.00274968,0.002123216,0.001,,
145,1,0.995169083,0.001257743,0.005166263,0.001,,
146,1,0.995169083,0.000224754,0.007591706,0.001,,
147,1,0.995169083,0.000643701,0.004060578,0.001,,
148,0.995169083,0.995169083,0.009720351,0.026607115,0.001,,
149,1,0.995169083,0.000111561,0.004898389,0.001,,
150,1,1,0.000435314,0.00316794,0.001,,
151,0.997584542,0.995169083,0.004811451,0.035089297,0.001,,
152,1,1,0.000614053,0.001282416,0.001,,
153,0.996376812,0.995169083,0.007510127,0.009759494,0.001,,
154,0.998792271,0.995169083,0.002331055,0.030549838,0.001,,
155,1,0.995169083,0.001029851,0.02747861,0.001,,
156,0.998792271,0.995169083,0.00312366,0.007797195,0.001,,
157,1,0.995169083,0.000234478,0.010959964,0.001,,
158,1,0.995169083,0.0001205,0.022289491,0.001,,
159,1,0.995169083,0.000275263,0.011458569,0.001,,
160,1,0.995169083,6.85E-05,0.012702118,0.001,,
161,1,0.995169083,0.000110631,0.009499064,0.001,,
162,0.993961354,0.995169083,0.04361072,0.025410561,0.001,,
163,0.992753625,0.951690833,0.025261115,0.126516309,0.001,,
164,0.992753625,0.98550725,0.01726157,0.024091481,0.001,,
165,0.996376812,1,0.008184485,0.003567428,0.001,,
166,0.998792271,0.990338167,0.002115669,0.027753999,0.001,,
167,0.992753625,1,0.016270771,0.001797742,0.001,,
168,0.998792271,0.975845416,0.003679474,0.041823634,0.001,,
169,0.996376812,0.995169083,0.011151135,0.009917185,0.001,,
170,0.998792271,0.995169083,0.005272143,0.006659256,0.001,,
171,0.996376812,0.9710145,0.013902775,0.052261038,0.001,,
172,0.998792271,1,0.004053111,0.005278192,0.001,,
173,0.997584542,0.990338167,0.003169249,0.016703007,0.001,,
174,1,0.980676333,0.000417982,0.040105503,0.001,,
175,0.996376812,1,0.007361662,0.000736467,0.001,,
176,0.997584542,0.9710145,0.005951344,0.099075235,0.001,,
177,0.998792271,1,0.002177985,0.002811207,0.001,,
178,1,1,0.002499185,0.002209718,0.001,,
179,0.998792271,0.990338167,0.002087928,0.008480701,0.001,,
180,1,1,0.000212427,0.001878021,0.001,,
181,1,1,0.000270904,0.001288908,0.001,,
182,1,1,0.000190167,0.000798151,0.001,,
183,1,1,0.000623109,0.001518175,0.001,,
184,1,0.980676333,0.000927315,0.043821155,0.001,,
185,0.998792271,1,0.004572652,0.000329669,0.001,,
186,1,1,0.001026538,0.000103371,0.001,,
187,1,0.980676333,0.00148534,0.064045399,0.001,,
188,0.997584542,1,0.012057637,0.000413767,0.001,,
189,0.998792271,0.975845416,0.004301115,0.065141533,0.001,,
190,0.997584542,0.995169083,0.011168538,0.00581181,0.001,,
191,0.997584542,0.98550725,0.006851072,0.048836725,0.001,,
192,0.997584542,1,0.005022935,0.002440896,0.001,,
193,0.997584542,0.98550725,0.009961946,0.022802645,0.001,,
194,1,1,0.00056937,0.00113251,0.001,,
195,0.998792271,0.98550725,0.003599502,0.062303469,0.001,,
196,0.998792271,1,0.006943209,0.000487943,0.001,,
197,0.998792271,1,0.003863231,0.009355235,0.001,,
198,0.998792271,1,0.003762513,0.005535831,0.001,,
199,0.998792271,1,0.007253002,0.001956001,0.001,,
200,0.995169083,1,0.010309187,0.001816175,0.001,,
201,1,1,0.001504548,0.001597294,0.0006,,
202,0.998792271,0.995169083,0.002348552,0.018602405,0.0006,,
203,0.998792271,0.995169083,0.002781519,0.007347631,0.0006,,
204,1,1,0.000784674,0.002953477,0.0006,,
205,0.998792271,1,0.002230208,0.003060107,0.0006,,
206,1,1,0.001032796,0.003418703,0.0006,,
207,1,1,0.000460306,0.003480262,0.0006,,
208,1,1,0.000230443,0.003031175,0.0006,,
209,1,1,0.000559579,0.002288934,0.0006,,
210,1,1,0.000508284,0.001245602,0.0006,,
211,1,1,0.000212949,0.00118595,0.0006,,
212,1,1,0.000460889,0.000521474,0.0006,,
213,1,1,0.00051297,0.00066657,0.0006,,
214,1,1,9.87E-06,0.001419201,0.0006,,
215,1,1,0.000429567,4.83E-05,0.0006,,
216,1,1,1.12E-05,9.29E-06,0.0006,,
217,0.997584542,0.980676333,0.009853249,0.102262525,0.0006,,
218,0.997584542,1,0.008557044,7.24E-05,0.0006,,
219,0.998792271,1,0.003707524,0.000281326,0.0006,,
220,1,1,0.00146174,0.003168382,0.0006,,
221,0.998792271,1,0.004129234,0.003033729,0.0006,,
222,0.997584542,0.990338167,0.004603214,0.020885259,0.0006,,
223,1,0.995169083,0.000164877,0.008066259,0.0006,,
224,0.997584542,1,0.003130716,0.001736305,0.0006,,
225,1,0.995169083,0.000713563,0.003820484,0.0006,,
226,1,1,0.000317306,0.003044938,0.0006,,
227,1,0.995169083,0.000735659,0.005355854,0.0006,,
228,0.998792271,0.995169083,0.002199579,0.007571884,0.0006,,
229,1,0.990338167,0.000275391,0.010951523,0.0006,,
230,1,0.990338167,0.000278622,0.013656313,0.0006,,
231,0.998792271,1,0.002029463,0.004769049,0.0006,,
232,0.998792271,1,0.001453923,0.00330967,0.0006,,
233,1,0.995169083,0.001034936,0.013819796,0.0006,,
234,0.998792271,1,0.001067102,0.002930644,0.0006,,
235,1,1,0.000159708,0.00049753,0.0006,,
236,1,1,0.000405429,0.00049883,0.0006,,
237,1,1,0.000108886,0.001119179,0.0006,,
238,1,1,3.36E-05,0.001903671,0.0006,,
239,1,1,4.74E-05,0.002583339,0.0006,,
240,1,1,3.01E-05,0.003557028,0.0006,,
241,1,1,5.85E-05,0.003325945,0.0006,,
242,1,1,0.00043614,0.001838149,0.0006,,
243,1,1,2.09E-05,0.000329131,0.0006,,
244,1,1,8.92E-05,0.000230703,0.0006,,
245,1,1,0.000145113,0.000311977,0.0006,,
246,1,1,3.64E-05,0.000698641,0.0006,,
247,1,1,8.60E-07,0.001029315,0.0006,,
248,1,1,7.45E-05,0.000810199,0.0006,,
249,1,1,4.05E-05,0.000755343,0.0006,,
250,1,1,5.69E-05,0.000798181,0.0006,,
251,1,1,0.000134161,0.000813309,0.0006,,
252,1,1,6.70E-06,0.001081448,0.0006,,
253,1,1,1.98E-05,0.001157714,0.0006,,
254,1,1,4.75E-05,0.001086898,0.0006,,
255,1,1,2.63E-06,0.000911248,0.0006,,
256,1,1,1.80E-05,0.00061579,0.0006,,
257,1,1,9.45E-06,0.000551095,0.0006,,
258,1,1,1.62E-06,0.000535964,0.0006,,
259,0.998792271,1,0.001232758,6.07E-06,0.0006,,
260,0.998792271,1,0.001321265,7.19E-05,0.0006,,
261,1,0.990338167,1.08E-06,0.014475137,0.0006,,
262,1,1,0.000765303,0.000773012,0.0006,,
263,1,1,3.47E-05,5.26E-05,0.0006,,
264,0.998792271,0.995169083,0.00153228,0.0080176,0.0006,,
265,0.998792271,1,0.001583593,0.000703989,0.0006,,
266,0.996376812,0.990338167,0.005892926,0.026401015,0.0006,,
267,0.997584542,1,0.00386738,4.73E-05,0.0006,,
268,0.996376812,0.975845416,0.015698877,0.109540982,0.0006,,
269,0.995169083,1,0.008790342,0.000239439,0.0006,,
270,0.996376812,0.966183583,0.009036868,0.126653355,0.0006,,
271,0.997584542,1,0.008875791,0.000489839,0.0006,,
272,0.997584542,1,0.004431762,0.001071419,0.0006,,
273,0.998792271,0.995169083,0.002221439,0.021441891,0.0006,,
274,0.998792271,1,0.001764123,0.00078512,0.0006,,
275,1,1,0.000931536,0.001092105,0.0006,,
276,1,1,0.000538697,0.002244286,0.0006,,
277,1,1,0.000621697,0.000984562,0.0006,,
278,1,1,0.000736179,0.001222487,0.0006,,
279,1,1,4.35E-05,0.002040269,0.0006,,
280,1,1,0.000941981,0.00011617,0.0006,,
281,1,1,0.000127611,5.59E-05,0.0006,,
282,1,1,9.63E-05,7.84E-05,0.0006,,
283,1,1,0.000134202,0.000387835,0.0006,,
284,1,1,4.51E-05,0.001190384,0.0006,,
