epoch,acc,val_acc,loss,val_loss,learning_rate,,56
1,0.962560395,0.942028999,0.109810817,0.206977015,0.001,,
2,0.963768125,0.9710145,0.080598257,0.080414355,0.001,,
3,0.983091791,0.9710145,0.045886228,0.095186206,0.001,,
4,0.98550725,0.9710145,0.039415568,0.090730015,0.001,,
5,0.991545896,0.9710145,0.031464327,0.088598701,0.001,,
6,0.990338167,0.975845416,0.023750721,0.107175354,0.001,,
7,0.991545896,0.980676333,0.018430032,0.099174526,0.001,,
8,0.996376812,0.98550725,0.011504512,0.101592391,0.001,,
9,0.995169083,0.98550725,0.016183226,0.07922423,0.001,,
10,0.995169083,0.975845416,0.009060314,0.098008313,0.001,,
11,0.990338167,0.961352666,0.032739873,0.168002007,0.001,,
12,0.975845416,0.980676333,0.057467697,0.090942171,0.001,,
13,0.992753625,0.9710145,0.024518305,0.099193756,0.001,,
14,0.998792271,0.961352666,0.014058622,0.105238664,0.001,,
15,0.996376812,0.961352666,0.007706611,0.090248225,0.001,,
16,1,0.966183583,0.001910072,0.095449049,0.001,,
17,0.997584542,0.9710145,0.006127496,0.091410795,0.001,,
18,0.995169083,0.961352666,0.008177358,0.144605144,0.001,,
19,1,0.975845416,0.001341002,0.116256527,0.001,,
20,1,0.980676333,0.000919881,0.118325322,0.001,,
21,1,0.975845416,0.000636596,0.116625897,0.001,,
22,1,0.975845416,0.000247521,0.114234588,0.001,,
23,1,0.9710145,0.000138483,0.116309963,0.001,,
24,1,0.980676333,4.86E-05,0.120228251,0.001,,
25,1,0.980676333,6.91E-05,0.124588292,0.001,,
26,1,0.980676333,7.41E-05,0.128247519,0.001,,
27,1,0.980676333,0.000116403,0.129556816,0.001,,
28,1,0.975845416,4.78E-05,0.133653887,0.001,,
29,1,0.975845416,6.27E-05,0.134112957,0.001,,
30,1,0.980676333,0.000175639,0.130492409,0.001,,
31,1,0.975845416,5.08E-05,0.135442517,0.001,,
32,1,0.98550725,4.91E-05,0.129534982,0.001,,
33,1,0.98550725,3.35E-05,0.126421522,0.001,,
34,1,0.98550725,5.35E-05,0.130407763,0.001,,
35,1,0.98550725,4.86E-05,0.136694321,0.001,,
36,1,0.98550725,3.47E-05,0.138660464,0.001,,
37,1,0.980676333,7.04E-05,0.131711081,0.001,,
38,1,0.980676333,3.76E-05,0.131986023,0.001,,
39,1,0.98550725,0.000145868,0.120686859,0.001,,
40,1,0.975845416,3.96E-05,0.131584612,0.001,,
41,1,0.980676333,3.07E-05,0.130639321,0.001,,
42,1,0.98550725,2.49E-05,0.130128966,0.001,,
43,1,0.98550725,1.96E-05,0.129961389,0.001,,
44,1,0.980676333,1.23E-05,0.131003292,0.001,,
45,1,0.980676333,1.16E-05,0.131447541,0.001,,
46,1,0.98550725,1.04E-05,0.13113732,0.001,,
47,1,0.98550725,2.66E-05,0.129503745,0.001,,
48,1,0.98550725,2.34E-05,0.127036283,0.001,,
49,1,0.98550725,1.46E-05,0.124651554,0.001,,
50,1,0.98550725,1.62E-05,0.127093203,0.001,,
51,1,0.98550725,3.13E-05,0.131085594,0.001,,
52,1,0.98550725,0.000110849,0.130941082,0.001,,
53,1,0.98550725,9.45E-05,0.123554487,0.001,,
54,1,0.990338167,5.88E-05,0.124210733,0.001,,
55,1,0.990338167,2.92E-05,0.12633486,0.001,,
56,1,0.990338167,1.19E-05,0.127586198,0.001,,
57,1,0.975845416,0.000265395,0.154483275,0.001,,
58,0.996376812,0.966183583,0.005356204,0.105664458,0.001,,
59,0.952898562,0.922705326,0.260023763,0.17977344,0.001,,
60,0.888888889,0.927536249,0.321220067,0.284405029,0.001,,
61,0.884057985,0.922705332,0.295064787,0.22460834,0.001,,
62,0.928743972,0.932367166,0.189592906,0.190608927,0.001,,
63,0.944444458,0.946859916,0.142202033,0.161296045,0.001,,
64,0.972222229,0.951690833,0.077797036,0.127171502,0.001,,
65,0.979468604,0.946859916,0.049650672,0.159708336,0.001,,
66,0.977053146,0.932367166,0.065577777,0.159974575,0.001,,
67,0.980676333,0.937198083,0.049367743,0.157623035,0.001,,
68,0.980676333,0.956521749,0.040842546,0.152999337,0.001,,
69,0.992753625,0.946859916,0.022304786,0.194956693,0.001,,
