epoch,acc,val_acc,loss,val_loss,learning_rate,,433
1,0.789090889,0.86956521,1.507767454,0.428407305,0.001,,
2,0.869090897,0.956521728,0.313609706,0.124817318,0.001,,
3,0.825454524,0.956521741,0.396295577,0.185366067,0.001,,
4,0.876363622,0.971014502,0.3547512,0.136933286,0.001,,
5,0.945454529,0.927536249,0.233034864,0.19063583,0.001,,
6,0.963636357,0.9710145,0.198563484,0.060532223,0.001,,
7,0.941818179,0.927536249,0.198686375,0.212042093,0.001,,
8,0.916363612,0.98550725,0.193998879,0.03408413,0.001,,
9,0.927272728,0.942028999,0.206293329,0.187611476,0.001,,
10,0.91636364,1,0.252222256,0.027817688,0.001,,
11,0.905454542,0.898550745,0.17848679,0.198361632,0.001,,
12,0.923636355,1,0.225600657,0.033152278,0.001,,
13,0.916363627,0.9710145,0.201302543,0.060014531,0.001,,
14,0.934545459,0.971014477,0.152680754,0.061862807,0.001,,
15,0.938181819,1,0.156907107,0.030829816,0.001,,
16,0.952727278,0.927536249,0.109056496,0.149381787,0.001,,
17,0.919999995,0.985507239,0.172243425,0.017694548,0.001,,
18,0.938181801,0.942028999,0.140324763,0.120824553,0.001,,
19,0.952727259,1,0.110963727,0.016545201,0.001,,
20,0.952727278,1,0.108011264,0.012604819,0.001,,
21,0.949090904,1,0.114913963,0.007191107,0.001,,
22,0.967272718,0.98550725,0.108514781,0.041556604,0.001,,
23,0.967272723,1,0.09292277,0.007341268,0.001,,
24,0.952727267,0.98550725,0.13252959,0.025113264,0.001,,
25,0.934545458,0.9710145,0.193133796,0.086811602,0.001,,
26,0.927272721,1,0.172745995,0.046827861,0.001,,
27,0.967272736,1,0.111415409,0.030549035,0.001,,
28,0.952727264,1,0.133286011,0.031489823,0.001,,
29,0.963636363,1,0.083857349,0.007531735,0.001,,
30,0.949090917,0.985507239,0.146659698,0.03248235,0.001,,
31,0.952727278,1,0.115634918,0.007515437,0.001,,
32,0.945454539,1,0.130304796,0.012818207,0.001,,
33,0.94545454,1,0.127109007,0.018987352,0.001,,
34,0.956363619,1,0.100434019,0.007565098,0.001,,
35,0.938181819,0.98550725,0.133836889,0.058058303,0.001,,
36,0.959999997,1,0.120951603,0.008197461,0.001,,
37,0.956363625,1,0.112458201,0.019116279,0.001,,
38,0.978181816,1,0.067619423,0.004589707,0.001,,
39,0.967272723,1,0.07529683,0.00356293,0.001,,
40,0.963636357,1,0.093354914,0.004016975,0.001,,
41,0.959999997,1,0.100434402,0.006286948,0.001,,
42,0.967272718,1,0.097893025,0.005561152,0.001,,
43,0.981818181,1,0.055114359,0.002830215,0.001,,
44,0.967272735,1,0.066546091,0.014384963,0.001,,
45,0.970909095,1,0.080431773,0.002642788,0.001,,
